Name	Type	Nullable	References	Description
usename	name	true	pg_authid.rolname	"user name"
usesysid	oid	true	pg_authid.oid	"id of this user"
usecreatedb	bool	true		"user can create databases"
usesuper	bool	true		"user is a superuser"
usecatupd	bool	true		
userepl	bool	true		"user can initiate streaming replication and put the system in and out of backup mode."
passwd	text	true		"password (possibly encrypted); null if none. see pg_authid for details of how encrypted passwords are stored."
valuntil	abstime	true		"password expiry time (only used for password authentication)"
useconfig	text[]	true		"session defaults for run-time configuration variables"
usebypassrls	bool			"user bypasses every row level security policy"
