rolname	name	true		"role nam"
rolsuper	bool	true		"role has superuser privilege"
rolinherit	bool	true		"role automatically inherits privileges of roles it is a member o"
rolcreaterole	bool	true		"role can create more role"
rolcreatedb	bool	true		"role can create database"
rolcatupdate	bool	true		"role can update system catalogs directly. (even a superuser cannot do this unless this column is true"
rolcanlogin	bool	true		"role can log in. that is, this role can be given as the initial session authorization identifie"
rolreplication	bool	true		"role is a replication role. that is, this role can initiate streaming replication and set/unset the system backup mode using pg_start_backup and pg_stop_backu"
rolconnlimit	int4	true		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit"
rolpassword	text	true		"not the password (always reads as ********"
rolvaliduntil	timestamptz	true		"password expiry time (only used for password authentication); null if no expiratio"
rolconfig	text[]	true		"role-specific defaults for run-time configuration variable"
oid	oid	true	pg_authid.oid	"id of rol"
